,fit_time,score_time,test_nmae,train_nmae,test_nmse,train_nmse,test_nrmse,train_nrmse,test_rmsle,train_rmsle,test_norm_rmse,train_norm_rmse
HGB_svr_3,12.805546283721924,0.027054786682128906,-0.809533708611384,-0.8082429533037657,-1.077941941221007,-1.072299457137876,-1.0382398283734866,-1.0355189313276103,0.008712430722549507,0.009503780768964635,0.008320732193564526,0.007579623848655975
HGB_svr_4,13.40217399597168,0.0159909725189209,-0.8012203482793773,-0.8104241338572209,-1.0451631653384204,-1.0788204557932508,-1.0223322186737638,-1.038662821031566,0.009351396360203653,0.009487982828954989,0.008244095753615763,0.00759504499543282
LY_svr_0,9.049201011657715,0.01862478256225586,-0.04844927469855291,-0.05017480884220515,-0.004266251553238485,-0.004339132958642783,-0.06531654884666278,-0.06587209544748658,0.03210868366117949,0.029074091492569867,0.01765312130990886,0.017803269039861236
LY_svr_1,8.9872465133667,0.018056869506835938,-0.04954639088107905,-0.049786316119963106,-0.0043946163393571505,-0.004306849330542432,-0.06629190251725432,-0.06562659011820157,0.030541423822318923,0.02948576347359653,0.017916730410068735,0.017736916248162586
LY_svr_2,9.161213159561157,0.015565872192382812,-0.05017858744770267,-0.04982022245922577,-0.004298458734748297,-0.004331939059965868,-0.06556263215238003,-0.06581746774197461,0.030037517811651086,0.02962730502563506,0.017719630311454064,0.017788504795128272
LY_svr_3,8.722877502441406,0.04096412658691406,-0.05048125622343426,-0.04948226854816547,-0.004378394560387751,-0.004310370448001771,-0.06616943826562041,-0.06565341154884315,0.02788151912348538,0.03013627451532158,0.01788363196368119,0.01774416528347112
LY_svr_4,8.988962411880493,0.024305105209350586,-0.05061875759758281,-0.04985999463536966,-0.00430980691019872,-0.004334021832643745,-0.06564911964526805,-0.06583328818040114,0.02781107098280932,0.03016904837331103,0.017743005309531906,0.017792780589297605
MCH_svr_0,11.74433970451355,0.0037202835083007812,-0.06050553908525251,-0.05410421883385235,-0.007318599907642001,-0.005576993701751359,-0.08554881593360601,-0.07467927223635323,0.002744657017737898,0.0024265055230238727,0.006843304358938467,0.00592618984272249
MCH_svr_1,10.888964176177979,0.022494077682495117,-0.05520760553487083,-0.05546099986187907,-0.005815481160158573,-0.005934662523660199,-0.07625930212215801,-0.07703676085908726,0.0024910538445608718,0.00249657683049166,0.00607181987298471,0.006111192310297741
MCH_svr_2,10.330190420150757,0.04009890556335449,-0.05465754838201633,-0.05559564668128772,-0.005653508214615846,-0.0059737818747288875,-0.0751898145669734,-0.07729024436970611,0.0024398342688290837,0.002504985750426166,0.005984936134344867,0.006133455043164426
